Communication Disorders,"A communication disorder is any disorder that affects an individual's ability to comprehend, detect, or apply language and speech to engage in discourse effectively with others."
Constipation,.
Amaurosis Fugax,Amaurosis fugax is a painless temporary loss of vision in one or both eyes.
Sarcopenia,"Sarcopenia is the degenerative loss of skeletal muscle mass, quality, and strength associated with aging."
Echolalia,Echolalia is defined as the unsolicited repetition of vocalizations made by another person.
"Angina, Unstable","Angina pectoris The sensation of chest pain, pressure, or squeezing, often due to not enough blood flow to the."
Hyperventilation,Hyperventilation occurs when the rate or tidal volume of breathing eliminates more carbon dioxide than the body can produce.
Cachexia,"Cachexia, or wasting syndrome, is loss of weight, muscle atrophy, fatigue, weakness and significant loss of appetite in someone who is not actively trying to lose weight."
Mental Fatigue,.
Color Vision Defects,"Color blindness, also known as color vision deficiency, is the decreased ability to see color or differences in color."
"Gait Disorders, Neurologic",.
Dysuria,"In medicine, specifically urology, dysuria refers to painful urination."
Sciatica,Sciatica is a medical condition characterized by pain going down the leg from the lower back.
Body Weight Changes,.
Low Back Pain,"Low back pain is a common disorder involving the muscles, nerves, and bones of the back."
Synkinesis,Synkinesis is the result from miswiring of nerves after trauma.
Dyspnea,.
